movieId,title,release_year,total_ratings,avg_rating,rating_stddev
2710,"Blair Witch Project, The",1999,388,2.865,1.289
231,Dumb & Dumber (Dumb and Dumber),1994,609,2.91,1.204
5378,Star Wars: Episode II - Attack of the Clones,2002,406,2.894,1.197
1917,Armageddon,1998,430,3.002,1.195
288,Natural Born Killers,1994,401,3.208,1.184
2657,"Rocky Horror Picture Show, The",1975,250,3.294,1.184
1884,Fear and Loathing in Las Vegas,1998,207,3.746,1.177
1676,Starship Troopers,1997,323,3.105,1.168
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,276,3.495,1.164
19,Ace Ventura: When Nature Calls,1995,400,2.691,1.153
2706,American Pie,1999,450,3.29,1.148
2683,Austin Powers: The Spy Who Shagged Me,1999,402,3.134,1.148
344,Ace Ventura: Pet Detective,1994,731,2.991,1.147
1721,Titanic,1997,783,3.411,1.138
1183,"English Patient, The",1996,260,3.702,1.137
4308,Moulin Rouge,2001,254,3.594,1.133
2712,Eyes Wide Shut,1999,299,3.353,1.129
1380,Grease,1978,296,3.301,1.127
2628,Star Wars: Episode I - The Phantom Menace,1999,614,3.034,1.126
8376,Napoleon Dynamite,2004,214,3.28,1.126
7293,50 First Dates,2004,226,3.082,1.122
1517,Austin Powers: International Man of Mystery,1997,460,3.316,1.115
520,Robin Hood: Men in Tights,1993,253,2.972,1.114
3785,Scary Movie,2000,215,2.749,1.114
33493,Star Wars: Episode III - Revenge of the Sith,2005,368,3.489,1.107
