title,tag,tag_count
Star Wars: Episode IV - A New Hope,sci-fi,1112
Pulp Fiction,quentin tarantino,561
Inception,alternate reality,505
Inception,thought-provoking,501
Fight Club,twist ending,494
Star Wars: Episode IV - A New Hope,science fiction,492
Star Wars: Episode IV - A New Hope,space,486
Star Wars: Episode IV - A New Hope,classic,476
"Matrix, The",sci-fi,442
Interstellar,space,432
Star Wars: Episode IV - A New Hope,space adventure,412
Inception,mindfuck,409
Inception,visually appealing,403
Memento,nonlinear,397
Pulp Fiction,dark comedy,396
Fight Club,psychology,393
Fight Club,dark comedy,381
Star Wars: Episode IV - A New Hope,classic sci-fi,381
Ex Machina,artificial intelligence,371
Interstellar,thought-provoking,368
Eternal Sunshine of the Spotless Mind,surreal,361
"Shawshank Redemption, The",morgan freeman,360
Memento,twist ending,360
Forrest Gump,tom hanks,355
"Usual Suspects, The",twist ending,355
"Matrix, The",virtual reality,353
Shutter Island,psychological,343
"Matrix, The",thought-provoking,336
"Matrix, The",dystopia,323
Interstellar,sci-fi,321
Star Wars: Episode IV - A New Hope,action,320
Arrival,thoughtful sci-fi,320
"Shawshank Redemption, The",inspirational,320
Fight Club,social commentary,319
Inception,surreal,316
"Matrix, The",philosophy,313
Pulp Fiction,nonlinear,309
"Lord of the Rings: The Fellowship of the Ring, The",fantasy,308
Shutter Island,twist ending,308
Inception,leonardo dicaprio,303
Eternal Sunshine of the Spotless Mind,thought-provoking,303
Fight Club,thought-provoking,294
"Prestige, The",twist ending,293
Inception,sci-fi,293
Inception,intellectual,290
Interstellar,time travel,288
"Shawshank Redemption, The",twist ending,288
Pulp Fiction,multiple storylines,287
Parasite,dark comedy,287
"Silence of the Lambs, The",serial killer,286
